epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0033,1.59551,2.84311,1.41137,0.0068,0.88375,0.71178,0.40751,1.22575,3.22872,1.07512,0.000654971,0.000654971,0.000654971
2,45.8278,1.26349,1.50316,1.1331,0.94705,0.87825,0.94008,0.55608,1.28889,1.64001,1.11808,0.00131291,0.00131291,0.00131291
3,57.2497,1.25991,1.25871,1.16887,0.86959,0.86325,0.91783,0.57394,1.28365,1.30619,1.2474,0.00196206,0.00196206,0.00196206
4,68.8933,1.21185,1.08499,1.14464,0.87588,0.85714,0.94565,0.61218,1.16677,1.03204,1.09253,0.0019604,0.0019604,0.0019604
5,80.9229,1.18103,0.94222,1.09445,0.95905,0.94196,0.97843,0.61806,1.17716,0.88745,1.15714,0.0019472,0.0019472,0.0019472
6,92.531,1.17417,0.84271,1.13101,0.92704,0.97768,0.97647,0.63917,1.1333,0.91629,1.19044,0.001934,0.001934,0.001934
7,103.079,1.17073,0.82285,1.11377,0.94268,0.9375,0.9792,0.64951,1.17301,0.73781,1.12719,0.0019208,0.0019208,0.0019208
8,113.706,1.06656,0.73239,1.05682,0.93812,0.94755,0.9748,0.66978,1.09415,0.71399,1.08386,0.0019076,0.0019076,0.0019076
9,124.101,1.09391,0.72391,1.07854,0.96747,0.92934,0.9819,0.68981,1.06159,0.68457,1.12726,0.0018944,0.0018944,0.0018944
10,134.708,1.11027,0.69916,1.0915,0.93034,0.95396,0.97579,0.63945,1.11827,0.77837,1.19107,0.0018812,0.0018812,0.0018812
11,144.492,1.06489,0.67203,1.08366,0.95924,0.9456,0.98268,0.66131,1.06594,0.69454,1.13433,0.001868,0.001868,0.001868
12,154.779,1.03935,0.64201,1.06076,0.95847,0.96429,0.98193,0.69566,1.00086,0.64381,1.08739,0.0018548,0.0018548,0.0018548
13,164.783,1.08361,0.6755,1.05117,0.95679,0.94643,0.98215,0.62897,1.19988,0.67781,1.1371,0.0018416,0.0018416,0.0018416
